"1.	Experience in the planning, layout and details of contract drawings, specifications, shop drawing review, field inspections and investigations.    2.	One-year experience in the fundamentals of engineering design and preparation of contract drawings.  3.	Intermediate Computer software skills in using Microsoft Office Suite (Word, Excel, Access & PowerPoint)  4.	Experience in the application of code requirements, standards for design and construction, and preparation of technical reports, related design software applications.  5.	Excellent communication skills and writing skills.  6.	Preference will be given to candidates with experience in AutoCAD, Revit, STAAD PRO, RAM Elements for completing engineering calculations.  7.	Preference will be given to candidates who have passed the Fundamentals of Engineering (FE) exam.  8.	A Motor Vehicle Driverâ€™s License valid in the state of New York will be required for some assignments.",83151.0
"Preference will be given to candidates with background in the design and construction of right of way stormwater management projects; particularly familiarity with DOT, DEP and DDC design standards.  Excellent interpersonal and written skills â€“ as required in dealing with clients, consultants, contractors, technical and non-technical staff, and managers at all levels, is preferred.  Candidate should be familiar with multi-disciplinary design and construction issues, contract documents including plans, estimates and specifications. In addition, candidate should have the ability to think creatively, embrace new approaches and/or technologies for solving complex technical problems and contractual situations; and experience with storm water management and/or sustainable design and rating systems.   Proficiency with AutoCAD, Microsoft Word, Excel, PowerPoint is preferred, as well as knowledge with Primavera, Power BI, Photoshop and 3D Rendering.  The Envision Sustainability Professional [ENV SP] credential is preferred.",83151.0
"â€¢	Proven design ability in landscape architectural work; â€¢	Excellent communication, interpersonal and organizational skills; â€¢	Knowledge of sustainability resilience and universal design principles; â€¢	Portfolio demonstrates strong skills in AutoCAD, Photoshop, Illustrator and 3D Rendering (link on resume to digital portfolio preferred); â€¢	Adept at creating presentations in lnDesign and PowerPoint. Proficiency in Microsoft Word & Excel; â€¢	At least one year leading a Multidisciplinary team of professionals; â€¢	Driverâ€™s license valid In New York State; â€¢	LEED certification; â€¢	Knowledge and experience with plant material and drawing up planting plans.",83151.0
"Candidates should have excellent verbal and written skills, and knowledge of NYC Infrastructure system. Proficiency in Microsoft Office is preferred.",83151.0
"â€¢Strong background of work within a M/WBE or diversity program â€¢Strong communications (writing and oral), public speaking, and presentation skills â€¢Strong IT and social media, and marketing skills â€¢Experience with planning, managing, coordinating and overseeing events and meetings of various sizes â€¢Experience working with a customer relationship management application â€¢Ability to work under pressure against tight deadlines â€¢Previous supervisory and management experience preferred â€¢Demonstrated experience structuring and managing projects from start to finish â€¢Able to prioritize and manage an multiple projects â€¢Strong interpersonal skills and ability to work in team environment â€¢Excellent research, analytical and problem-solving skills  â€¢Proficient with Microsoft Office Applications, including MS Excel, MS Word, MS PowerPoint, and CRM.",83000.0
at least one year of which must have been in a supervisory capacity; or  3. A baccalaureate degree from an accredited college,82921.0
"â€¢	Excellent oral and written communication skills, working proficiency in Spanish or other languages â€¢	Early childhood education teaching experience â€¢	Excellent problem-solving capability and capacity to meet multiple deadlines under pressure â€¢	Highly organized and detail-oriented",82455.0
motions,82137.0
"Registered Dietitian and Certified Dietitian Nutritionist preferred.   The ideal candidate will have strong organizational skills, the ability to multi-task and prioritize workload in order to meet deadlines in a fast paced environment. The ideal candidate will also have excellent computer and writing skills. Familiarity with the different nutrition analysis software and the food safety and sanitation standards required by the Department of Health and Mental Hygiene is preferred. The ability to work with diverse populations and communicate with both internal and external stakeholders is also a plus.",82019.0
"1.	Exceptional written and oral communication skills. 2.	Fluent knowledge of NYC Construction Codes, Energy Code, Applicable Local Laws and Zoning Resolution. 3.	Expertise in navigating NYC government processes pertaining to plan examination, DOB procedures and permit filing requirements.",82000.0
"1.	Exceptional written and oral communication skills. 2.	Fluent knowledge of NYC Construction Codes, Energy Code, Applicable Local Laws and Zoning Resolution. 3.	Expertise in navigating NYC government processes pertaining to plan examination, DOB procedures and permit filing requirements. 4.	Driver license valid in New York State.",82000.0
"The preferred candidate should possess the following: Excellent computer skills, proficiency in Microsoft Word, Excel, and Access; excellent written and verbal communications skills; and organizational skills and the ability to handle multiple tasks under tight deadlines constraints in a fast-paced environment.",82000.0
"-	Licensed professional in the areas of social service, health and human services, or other appropriate field -	2 years direct service experience working with highly vulnerable populations, particularly the homeless, and people with health, mental health,",81800.0
"\"\"2\"\" or \"\"3\"\" above. Experience may be substituted for college education on the basis of one year of experience for each 30 semester credits. However",81731.0
"Experience in conducting case reviews and/or operational reviews/process evaluations, in-depth understanding of the policies and procedures in ACS program areas, including thorough knowledge of best practice in child protection, foster care and preventive services, knowledge of and ability to navigate CONNECTIONS and related databases, proficiency on Microsoft Office software, including Word, Excel and PowerPoint.  Ability to work on multiple projects effectively and efficiently, both independently and collaboratively with a team. Strong organizational skills and attention to detail are a must.   Excellent oral communication and writing skills  (writing sample required).  Furthermore, the preferred candidate should be comfortable working within well-defined deadlines for completing reviews and reports.   Recent experience as a child protective supervisor or child protective specialist is a plus.",81655.0
"Experience in conducting case reviews and/or operational reviews/process evaluations, in-depth understanding of the policies and procedures in ACS program areas, including expert knowledge of best practice in child protection, foster care and preventive services, expert knowledge of and ability to navigate CONNECTIONS and related databases, proficiency on Microsoft Office software, including Word, Excel and PowerPoint, ability to work on multiple projects effectively and efficiently, both independently and collaboratively with a team, strong organizational skills and attention to detail, and excellent oral and writing skills. Furthermore, the preferred candidate should be comfortable working within well-defined deadlines for completing reviews and reports.  Past child protective supervisory experience is a plus.  Strong writing and organizational skills with an attention to detail.  Must maintain a high level of discretion and confidentiality.  Demonstrated ability to be focused and efficient.  Proven ability to be flexible when working on multiple projects, both independently and collaboratively.",81655.0
"all candidates must have a valid New York State license as a Registered Nurse.\"",81653.0
"The preferred candidate will possess a masterâ€™s in social work, social science, management science or related field, experience in conducting case reviews and/or operational reviews/process evaluations, with managerial/supervisory skills sufficient to oversee the duties outlined above and lead reviewers on the staff. Knowledge of and ability to navigate CONNECTIONS and related databases, proficiency on Microsoft Office software, including Word, Excel and PowerPoint, as well as the ability to work on multiple projects effectively and efficiently, both independently and collaboratively with a team are favored. Furthermore, strong organizational skills and attention to detail are required. Recent experience as a child protective supervisor is a plus.",81571.0
"Expert in AutoCAD, AutoTurn and ArcGIS.  Experience with BIM, MicroStation, Inroads, ProjectWise, engineering document management, data science, coding, quality control and project management are a plus.",81321.0
"must have at least:  a) a baccalaureate degree from an accredited college or university and one year of actual experience as described in \"\"1\"\" above; plus  b) a satisfactory combination of: (i) graduate semester credits in the areas listed in \"\"1\"\" and \"\"2\"\" above; and/or (ii) additional experience as described in \"\"1\"\" above",81000.0
technical school,80996.0
"â€¢ Excellent communication and organization skills.  â€¢ Strong Computer skills-including the use of Microsoft Word, Excel and Windows.  â€¢ Familiarization with DOB NOW online portal.",80400.0
"one additional year of the  full-time satisfactory experience described above.\"",80117.64
"and mediate tensions between different groups.\"",80046.0
"â€¢	A master's degree from an accredited college in economics, business or public administration, management science, operations research, organizational behavior, industrial psychology, statistics, sociology, political science, mathematics, public policy, computer science or a closely related field; with at least one (1) years of related work experience,  or â€¢	A baccalaureate degree from an accredited college and demonstrated equivalent expertise in a responsible supervisory, administrative or research capacity in the appropriate field of specialization, with at least three (3) years of related work experience. â€¢	Strong quantitative and problem-solving skills; experience with empirical methods and data analytics including working with large, complex micro - data sets, building applied statistics or econometrics models, and/or conducting research. â€¢	Strong technical expertise regarding data models, database design development, data mining and segmentation techniques desired.  Strong knowledge of and experience with reporting packages (Business objects etc.), database (SQL etc), programming (XML, javascript, or El frameworks) preferred.   â€¢	Demonstrated ability to produce System documentation, End-user documentation, ERDs, and workflows.  â€¢	Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amount of information with attention to detail and accuracy. â€¢	Ability to take initiative, prioritize duties, problem solve, work independently and within a team environment, pay close attention to detail, meet deadlines, do appropriate follow-up, work well under pressure and maintain an enthusiastic work ethic. This includes maintaining a positive and helpful attitude and a proven capacity in project management skills, including organizing and strategic planning.  â€¢	Ability to think outside of the box and develop novel strategies for analysis.   This includes the ability to distill complex material into actionable recommendations.   â€¢	Excellent written and oral communication skills.  Adept at queries, report writing, and presenting findings. â€¢	Ability to interface with all supervisory and frontline staff, including senior management and other respective stakeholders both in and outside government.  Communicates effectively to non-technical teams and thrives in a dynamic environment. â€¢	Proficiency in SAS, STATA, SQL, R, SPSS (and/or other statistical software), Python or other programming languages with associated documentation.  â€¢	Proficiency in MS Excel (Pivot, Advanced functions: INDEX/MATCH, VLOOKUP, HLOOKUP, etc.), MS Access, MS Project, Visio and other products in MS Suite â€¢	Critical and proactive thinker with capacity to learn programming languages will be strongly considered. â€¢	Interest in New York City policy and operations, a plus.",80000.0
"Bachelor's degree in related field, and five years of relevant professional experience. Demonstrated experience leading innovative solutions in learning & development. Experience designing and delivering trainings for adult learners, with a demonstrated mastery of teaching and facilitating them.  Strong written and verbal communication skills.   Applicants must be a permanent Associate Staff Analyst or be reachable on the Associate Staff Analyst, Exam No. 5014 list.",80000.0
"â€¢	An advanced degree in a social science discipline or relevant discipline required â€¢	3+ years of experience in an area related to the effective delivery of social services required; a demonstrated interest in the fields of public health, mental health or substance misuse preferred â€¢	Program management experience required â€¢	Experience working in government preferred; prior experience with administrative datasets and procurement processes preferred â€¢	Working knowledge of Microsoft Office, spreadsheets, and program management software â€¢	Excellent written and verbal communication skills, with the ability to translate complex technical information into clear and compelling presentations for an array of audiences.",80000.0
"1.	Experience in the designs and construction of energy efficiency retrofits in diverse buildings that vary in age, size and use 2.	Experience in analyzing building energy efficiency technologies and controls and specifying upgrades to improve the energy performance of building HVAC systems 3.	Strong knowledge of applicable IESNA/ASHRAE design codes, design standards and specification requirements, with the ability to interpret and apply them to specific project scopes. 4.	Experience reviewing and/or developing project cost estimates. 5.	Familiarity with energy usage, energy cost savings, and avoided greenhouse gas emissions calculations methodologies  6.	Demonstrated analytical and quantitative abilities;  7.	Experience in conducting analysis and identifying trends leveraging the appropriate software, i.e. Excel, SPSS, or Stata; Ability to create project-related documents including schedules, project plans, presentations, and status reports; Ability to think creatively and inspire innovation among team members.  8.	Candidates should have excellent communication, writing and interpersonal skills.",80000.0
"1.	Possess an ISA Arborist certification and ISA Tree Risk Assessment Qualification.  2.	Strong knowledge of agency structure and divisions and/or government operations.  3.	Excellent skills in interpersonal communication, supervision, and conflict management. 4.	Strong skills in program planning and administration, customer service delivery, problem solving, writing and presentation. 5.	Proficiency with ArcGIS, ForMS (the Agencyâ€™s tree management software program), and Microsoft Excel. 6.	Valid New York State driver license.",80000.0
"â€¢ Demonstrated experience with IT audits, assessment of IT risks and controls, information security and cybersecurity, systems implementation and systems architecture;   â€¢ In-depth knowledge of the current cyber threat landscape, with a specific focus on the technical aspects of adversarial Tactics, Techniques and Procedures (TTPs) and their relation to the cyber kill chain and other analytical models;  â€¢ Audit expertise in Unix/Linix, Windows, distributed databases, web technologies, enterprise architecture, virtualization and technology infrastructure;   â€¢ Intermediate level analytical and data analysis skills (e.g. SQL, ACL, or similar tools);  â€¢ Understanding of Java and scripting languages (e.g. PERL, Python, PHP, JScript, VBScript, Unix Shell);  â€¢ Experience with NIST, PCI-DSS, HIPAA, Sarbanes-Oxley, PII, ITIL, ISO 27001 and 27002, COSO principles or other information security frameworks;   â€¢ Advanced proficiency in basic PC applications (MS Excel, Word, PowerPoint, and Visio);  â€¢ Microsoft Networking including Active Directory and Group Policy;  â€¢ Related industry certifications such as CISSP, CISA, and CISM is desirable;   â€¢ Experience with GAGAS, FISCAM, risk and compliance;   â€¢ Record of seeking self-improvement through education, certification, training, and staying abreast of current and emerging technologies; and,  â€¢ Excellent interpersonal, communication, writing and organizational skills.",80000.0
"â€¢ Finance/accounting/operations experience in Alternatives Investments (Private Equity, Real Estate, Infrastructure, Hedge Funds, Opportunistic Fixed Income);  â€¢ Strong communications skills with ability to assist in leading discussions and proposing solutions;  â€¢ Ability to multitask across various functional areas;  â€¢ Proficiency in Microsoft Excel (including pivot tables and VLOOKUPâ€™s) and other Microsoft Office Suite products",80000.0
"Experience with and knowledge of the City's budget process and the NYC Financial Management System (FMS); knowledge of the Law Department's programs and needs; familiarity with Excel and Word software; excellent written and oral communication, excellent analytical and interpersonal skills.",80000.0
"â€¢ Substantial progressively responsible experience as a Network Administrator;  â€¢ CCNP certification;   â€¢ Strong understanding of network infrastructure, network hardware, and application transport protocols;   â€¢ Must possess LAN, WAN and Network security experience;   â€¢ Ability to create accurate network diagrams and documentation for design and planning network communication systems;   â€¢ Ability to quickly learn new or unfamiliar technology and products using documentation and internet resources;   â€¢ Good analytical and problem-solving skills; ability to think through problems and visualize solutions;   â€¢ Ability to work with all levels of staff within and outside of IT and outside the organization.",80000.0
"-	Experience working with and/or supervising peers.  -	Knowledge of substance use, harm reduction, and drug treatment resources.  -	Excellent interpersonal and communication skills; strong organizational skills. -	Proficiency with Microsoft Word applicati",80000.0
storing and filtering storm water. These areas also provide important community open spaces and a diverse wildlife habitat.  The Bureau of Water & Sewer Operations is seeking to hire a permanent Administrative Staff Analyst to manage payment and procurement processes for multiple emergency construction contracts,80000.0
"â€¢ Candidates must be able to demonstrate critical thinking skills and effective independent data analysis  â€¢ Excellent oral and written communication skills, ability to meet deadlines, and an ability to be flexible in assignment of work responsibilities  â€¢ Understanding of water and heavy civil infrastructure design practices and standards  â€¢ Understanding of project management principals, specifically the procedures used by DEP  â€¢ This position requires operation of a motor vehicle to perform site visits, equipment testing, inspections, and to attend meetings with project stakeholders  â€¢ Knowledge of Microsoft Office Suite products (Word, Excel, etc.)",79726.0
"â€¢	Candidates must be able to demonstrate critical thinking skills and effective independent data analysis  â€¢	Excellent oral and written communication skills, ability to meet deadlines, and an ability to be flexible in assignment of work responsibilities  â€¢	Understanding of water and heavy civil infrastructure design practices and standards  â€¢	Understanding of project management principals, specifically the procedures used by DEP  â€¢	This position requires operation of a motor vehicle to perform site visits, equipment testing, inspections, and to attend meetings with project stakeholders  â€¢	Knowledge of Microsoft Office Suite products (Word, Excel, etc.)  â€¢	A Motor Vehicle Driverâ€™s License valid in the State of New York may be required for certain assignments. If required, this license must be maintained for duration of appointment",79726.0
"Excellent communication skills, ability to maintain professional demeanor when interacting with Professional Engineers, licensed plumbers, and other City Agencies. Aptitude in reviewing and interpreting engineering drawings, plans and specifications. Familiar with Backflow Prevention (BFP) application procedures required of the Professional Engineers, licensed plumbers or contractors, permits issued by DOT and DEP's Bureau of Customer Service. Ability to perform tasks with minimum direction and supervision.",79726.0
***A MOTOR VEHICLE DRIVER'S LICENSE VALID IN THE STATE OF NEW YORK IS REQUIRED. THIS LICENSE MUST BE MAINTAINED FOR DURATION OF APPOINTMENT.***  - Ability to work cooperatively with city employees and regulators to efficiently advance the programâ€™s projects.  - Ability to effectively communicate both orally and in writing.  - Ability to oversee multiple complex projects at the same time and ability to adjust to changing priorities.  - Experience with ArcView and large databases is highly preferred.  - Experience reading design plans is highly preferred.  - Fundamentals of Engineering highly preferred.,79726.0
Ability to communicate effectively in verbal and written form.,79726.0
"â€¢	Experience in the planning, layout and details of contract drawings, specifications, shop drawing review, field inspections and investigations  â€¢	Experience in the design of electrical distribution systems, electrical substations, switchgear, motor control centers, and emergency power generation systems   â€¢	Experience in the design of Instrumentation and Control systems  â€¢	Familiarity with electrical power distribution system design software applications  â€¢	Knowledge of current NYC Building Code, NYCEC, NEC, FDNY, NFPA, IEEE, UL, ANSI,  and other related Codes & Standards, including CSI Standards  â€¢	Experience in the application of code requirements and preparation of technical reports  â€¢	Proficiency in AutoCAD, lighting design software and Microsoft Office suite  â€¢	Excellent leadership, communication and writing skills  â€¢	A Motor Vehicle Driverâ€™s License valid in the state of New York is required for some assignments",79726.0
"1. Demonstrated ability to design and complete Landscape Architecture projects with a focus on green infrastructure projects as demonstrated by a portfolio.  2. Certification as an arborist by the International Society of Arboriculture; or be a registered consulting arborist by the American Society of Consulting Arborists.  3. 1 year of experience in tree preservation, as well as protection, pruning, installation and establishment, diagnosis and treatment of insect and disease problems or other related arboriculture and horticulture services.  4. Knowledge of AutoCAD.  5. Knowledge of PhotoShop, PowerPoint and 3D rendering.  6. Excellent communication, interpersonal and organizational skills.  7. Proficiency in Microsoft Word and Excel.",79726.0
"\"He/she will possess exceptional written and verbal communication skills, strong analytical and problem solving skills and the ability to manage competing priorities and track progress to adhere to set timelines   Strong computer and data management skills, including proficiency with Word, Excel and Power Point.    Preference will be given to Licensed Clinical Social Workers, Licensed Mental Health Counselors, and/or Licensed Psychologists.    Minimum Qual Requirements    A baccalaureate degree from an accredited college or university, and either:  1. A Master's degree in Social Work from an accredited college or university in the school of social work, or 60 graduate semester credits from an accredited university in social work, psychology,  3. A satisfactory combination of education and/or experience. Candidates without either a Master's degree as described in \"\"1\"\" or \"\"2\"\" above or at least 60 graduate semester credits in the areas health",79695.0
"\"He/she will possess exceptional written and verbal communication skills, strong analytical and problem solving skills and the ability to manage competing priorities and track progress to adhere to set timelines   Strong computer and data management skills, including proficiency with Word, Excel and Power Point.   Minimum Qual Requirements    A baccalaureate degree from an accredited college or university, and either:  1. A Master's degree in Social Work from an accredited college or university in the school of social work, or 60 graduate semester credits from an accredited university in social work, psychology,  3. A satisfactory combination of education and/or experience. Candidates without either a Master's degree as described in \"\"1\"\" or \"\"2\"\" above or at least 60 graduate semester credits in the areas health",79695.0
"DESIRED SKILLS:  Demonstrated quantitative and analytic skills; ability to use formulas and pivot tables to analyze large data sets; ability to effectively format spreadsheets for presentation and review; excellent written, verbal, and interpersonal communication skills; self-starter able to generate and complete projects under limited supervision.",79428.0
"DESIRED SKILLS:  â€¢	Demonstrated quantitative and analytic skills.  â€¢	Ability to use formulas and pivot tables to analyze large data sets and effectively format spreadsheets for presentation and review.  â€¢	Basic knowledge of Microsoft Access, Crystal, and FMS is preferred. â€¢	Strong written, verbal, and interpersonal communication skills.  â€¢	Self-starter able to generate and complete projects with limited supervision. â€¢	A demonstrated interest in public service is a plus. â€¢	Must be able to work evenings and weekends as needed.",79428.0
"1.	Knowledge of NYC Department of Environmental Protection regulations; Rules of the City of NY Title 15 Chapter 1. 2.	Knowledge of NYS Department of Labor regulations; 12 NYCRR Part 56. 3.	Knowledge of NIOSH practices and procedures; 9002. 4.	Knowledge of Occupational Safety and Health regulations; 29 CFR 1910 and 1926. 5.	Detail oriented and good organizational skills. 6.	Understanding of contract specifications and construction drawings. 7.	Proficiency with Microsoft Office applications, i.e., Excel, Word, Outlook and JPG files.",79267.0
"1. Knowledge of NYC Department of Environmental Protection regulations; Rules of the City of NY Title 15 Chapter 1. 2. Knowledge of NYS Department of Labor regulations; 12 NYCRR Part 56. 3. Knowledge of NIOSH practices and procedures; 9002. 4. Knowledge of Occupational Safety and Health regulations; 29 CFR 1910 and 1926. 5. Detail oriented and good organizational skills. 6. Understanding of contract specifications and construction drawings. 7. Proficiency with Microsoft Office applications, i.e., Excel, Word, Outlook and JPG files.",79267.0
"--Expertise in Planning and Program Development. Knowledge of DOHMH and DOE personnel policies and procedures  --Detailed-oriented, ability to multi-task, excellent communication, interpersonal, and organizational skills  candidate must be permanent   1)A",78429.0
"â€¢	Bachelorâ€™s degree, plus two (2) years full-time professional experience required; â€¢	Ability to maintain a high level of accuracy, transparency and accountability in all work product required; â€¢	Keen attention to detail, flexibility and an enthusiastic work ethic required; â€¢	Strong written and verbal communication skills required;  â€¢	Strong knowledge of MS Office products, particularly Excel, required; â€¢	Knowledge of Adobe InDesign and Illustrator preferred; â€¢	An understanding of urban issues, especially New York City government and New York Cityâ€™s operating agencies preferred;  and â€¢	Experience in performance reporting, data collection, or data analysis preferred.",78000.0
"1. Prior experience leading complex investigations  2. Strong writing and editing ability  3. Strong communication, analytical, and interpersonal skills 4. Ability to consistently lead by example and adhere to the highest standards of professionalism 5. Ability to initiate and drive projects to completion 6. Ability to prioritize and manage large volume of tasks and thrive in a fast-paced environment 7. Keen attention to detail and organizational skills 8. Ability to exercise discretion on sensitive and confidential matters",77500.0
EIT Preffered. Background in Clean Water/Wastewater. Ability to respond to emergencies off hours.,77404.0
"â€¢Strong management and leadership skills, including budget and timeline management  â€¢Experience in working with small businesses, City government and community partners  â€¢Excellent interpersonal, organizational, strategic thinking and qualitative/quantitative skills  â€¢Strong writing and oral communication skills  â€¢Ability to work within cross organizational and multi-disciplinary teams  â€¢At least 2 years of project and program management experience  â€¢Experience designing, executing, and scaling programs  â€¢Experience in management of education or training programs",76000.0
"â€¢ Preferred candidate will have a degree in finance, accounting or a related field in NYC government. â€¢ Proficient in Excel",76000.0
"â€¢	Must be able to work in a diverse and fast paced environment and have the ability to complete tasks at the indicated deadline and in an efficient manner. â€¢	A comprehensive understanding of the member life cycle is preferred. â€¢	Must have strong customer service and communication skills, coupled with the ability to identify potential trends and problem cases.",75985.0
"Preferred KSA's: Â· Ability to research and evaluate complex legislation and laws. Â· Ability to think critically and to do in-depth analysis of legal issues presented. Â· Ability to review legal documents for accuracy. Â· Knowledge of and proficiency with Lexis/Nexis. Â· Knowledge of City procurement rules, City Government and Pension Laws a plus.  Additional information: Agency Attorney intern is a non-competitive title. Salary will be commensurate with experience. Qualified persons who have been certified as disabled and eligible to participate in 55-a program may apply.",75760.0
"Interested candidates should have excellent written and verbal communication skills, effective problem-solving skills, and the ability to prioritize, manage time, and engage in multiple tasks in a fast-paced environment. Although not required, the successful applicant will likely have one or more of the following academic or professional experiences: litigation, and/or customer relations.  Bilingual proficiency preferred.",75760.0
â€¢	Excellent communication skills (both written and oral) â€¢	Strong analytical and interpersonal skills â€¢	Strong organizational skills and attention to detail â€¢	Knowledge of Microsoft Office Suite â€¢	Ability to work independently and as part of a team â€¢	Sec 8 or other rental subsidy experience a plus,75651.0
"A Bachelorâ€™s Degree in Engineering.  A Motor Vehicle Driverâ€™s License valid in the state of New York.    Five years of experience in water and/or wastewater process equipment design.  Experience in partnering with operations and maintenance staff for designs of water and/or wastewater system construction.  Strong interpersonal as well as both oral and written communication skills, capacity to organize and analyze information and data, fluency in Microsoft Office Suite products.  Current Professional Engineer License in the State of New York.    Broad knowledge of DEPâ€™s infrastructure systems, knowledge of data storage and accession platforms.",75651.0
"â€¢	Organizational skills, attention to detail, and ability to follow established processes â€¢	3-5 years experience working with & delivering adult learning programs â€¢	Excellent communication skills, including written, verbal, and active listening; strong problem solving and analytical skills â€¢	Advanced proficiency in MS Office (i.e. Microsoft Word, Excel, PowerPoint, Project, etc.) â€¢	Exceptional presentation skills â€¢	3 years experience in a customer service-oriented culture  â€¢	Demonstrated experience utilizing a range of technology tools to facilitate learning experiences â€¢	Ability to work independently and collaboratively in a fast-paced, demanding, and complex work environment, with the ability to carry out complex assignments and adapt to changing situations and priorities",75591.0
"â€¢Extensive knowledge of cash assistance and SNAP regulations.  â€¢Proficient in Microsoft Word, Excel, Access and EDW (Enterprise Data Warehouse).   â€¢Working knowledge of WMS, POS, HRA One Viewer and NYCWAY.   â€¢Excellent written communication skills.  â€¢Experience in report preparation and analysis.  â€¢Strong presentation skills.",75591.0
"â€¢	Strong analytical and computer skills â€¢	Excellent communication (oral & written) and presentation skills â€¢	Proficient in MS Office (Word, Excel, Outlook, PowerPoint) â€¢	Proficiency with city-government software (Financial Management System (FMS), Crystal BOXI and    CHARMS â€¢	Must be detail-oriented â€¢	Strong client service ethics â€¢	Must be able to work independently and as part of a team â€¢	Must be able to manage multiple projects in a fast-paced work environment",75591.0
"Knowledge of Best Authority, Adobe Acrobat, Adobe design products and audio/video editing applications, as well as flexibility and adaptability of similar applications would be a plus.   PROJECT/PROGRAM MANAGER, INVOICING ACCOUNTS PAYABLE, DATA VALIDATION and INTEGRITY for AGENCY SYSTEMS (LM).   Supervisory and/or project coordination experience.   Ability to work under stringent deadlines and maintain a positive customer service perspective.  Procedural knowledge of workflow and office automation systems.   Ability to communicate clearly and effectively (orally and in writing) with staff, peers, administrators and legal personnel.  Strong presentation skills.",75591.0
"â€¢	Highly skilled in Microsoft Excel, Word and Outlook. Word processing and database entry knowledge required.  â€¢	Team Management Skills â€¢	Strong oral & written communication skills â€¢	Ability to multi-task",75591.0
"Highly skilled in Microsoft Excel, Word and Outlook. Word processing and database entry knowledge required.  Team Management Skills.  Strong oral & written communication skills.  Ability to multi-task.",75591.0
"\"\"2\"\" or \"\"3\"\" above. A college education may be substituted for experience on the basis of six months of experience as described in \"\"1\"\" above for each 30 semester credits of undergraduate college education including or supplemented by 6 semester credits in voice telecommunication (telephone",75436.0
all candidates must possess a baccalaureate degree from an accredited college.  SPECIAL NOTE:  To be eligible for placement in Assignment Level II,75341.0
"In order to apply for this position, the candidate must be a permanent Associate Chemist or on an Associate Chemist Civil Service List.    Experience in testing drinking water samples for trace organic contaminants by EPA-approved gas chromatographic methods is preferred: experience in testing environmental water samples for trace organic contaminants by gas chromatographic methods is also acceptable. Strong writing and communication skills are desirable as well as familiarity with computer programs, including Excel and Word.",75083.0
"Demonstrated experience with IT audits, assessment of IT risks and controls, information security and cybersecurity, systems implementation and systems architecture;   â€¢ In-depth knowledge of the current cyber threat landscape, with a specific focus on the technical aspects of adversarial Tactics, Techniques and Procedures (TTPs) and their relation to the cyber kill chain and other analytical models;   â€¢ Audit expertise in Unix/Linix, Windows, distributed databases, web technologies, enterprise architecture, virtualization and technology infrastructure;   â€¢ Intermediate level analytical and data analysis skills (e.g. SQL, ACL, or similar tools);   â€¢ Understanding of Java and scripting languages (e.g. PERL, Python, PHP, JScript, VBScript, Unix Shell);   â€¢ Experience with NIST, PCI-DSS, HIPAA, Sarbanes-Oxley, PII, ITIL, ISO 27001 and 27002, COSO principles or other information security frameworks;   â€¢ Advanced proficiency in basic PC applications (MS Excel, Word, PowerPoint, and Visio);   â€¢ Microsoft Networking including Active Directory and Group Policy;   â€¢ Related industry certifications such as CISSP, CISA, and CISM is desirable;   â€¢ Experience with GAGAS, FISCAM, risk and compliance;   â€¢ Record of seeking self-improvement through education, certification, training, and staying abreast of current and emerging technologies; and,   â€¢ Excellent interpersonal, communication, writing and organizational skills.",75000.0
"â€¢ Experience in procurement/contracting;  â€¢ Knowledge of New York City government and New York City Procurement Board Policy rules;   â€¢ Contracting experience within a financial services operation;    â€¢ Excellent written skills;  â€¢ Strong interpersonal, communication, and organizational abilities;  â€¢ Proficiency in Microsoft Office Suite (Word, Excel and PowerPoint).",75000.0
"1.	Education: Candidates with masterâ€™s degrees in urban planning, urban studies, urban science, sociology, public policy, public administration, or political science are preferred.  2.	Professional experience: A minimum of three years of professional experience in a related field is preferred.  3.	Data analysis skills: Experience using data to inform programs and policies, and improve existing data processes; strong data analysis, data mining, and data modeling skills, including familiarity with risk and forecasting models; ability to write scripts to manage and manipulate data in statistical packages and programming environments (R, Python, Stata, SAS) ability to tabulate and visualize data to create impactful narratives, graphics, maps and reports; ability to communicate results and findings to non-technical audiences; excellent general computer skills and proficiency in Microsoft Office.   4.	Project management skills: Proven ability to manage complex projects with multiple internal and external stakeholders; to receive direction and anticipate next steps to think through, communicate, document, organize, and execute on project goals; and to meet deadlines.   5.	Subject-matter expertise: Knowledge of urban issues is strongly preferred. Familiarity with New York City government and housing issues and/or experience developing anti-displacement and preservation strategies in high-cost cities is a plus, but not required.  6.	Communication skills: Strong written, verbal, and presentation skills. Proven ability to produce high-quality materials in a variety of formats for internal and external audiences.  7.	Relationship-building skills: Ability to relate with people from different backgrounds and to present information clearly to people from different educational and literacy levels.",75000.0
